,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
170,False,Swish,rgb,10000,0.9292828685258964,0.9324720862822182,22.3450053,0.3687
171,True,Leaky ReLU,cielab,1000,0.999003984063745,0.9990783410138248,0.3401784,0.0199943
173,True,Leaky ReLU,cielab,2000,1.0,1.0,1.043169,0.0480238
175,True,Leaky ReLU,cielab,3000,0.9073705179282868,0.9090259975149708,1.9958043,0.0520295
177,True,Leaky ReLU,cielab,4000,0.8695219123505976,0.8711426868072735,3.2588422,0.0720453
179,True,Leaky ReLU,cielab,5000,0.8476095617529881,0.853163942699554,4.947574100000001,0.0839636
181,True,Leaky ReLU,cielab,6000,0.9193227091633466,0.9215773662888584,7.2843372,0.114297
183,True,Leaky ReLU,cielab,7000,0.957171314741036,0.9567416761582322,10.1296396,0.1638838
185,True,Leaky ReLU,cielab,8000,0.8814741035856574,0.8845116139874134,13.8336985,0.1600131
187,True,Leaky ReLU,cielab,9000,0.901394422310757,0.9036556014667628,17.2281199,0.1893412
189,True,Leaky ReLU,cielab,10000,0.999003984063745,0.99874213836478,21.5987733,0.2040061
190,True,Leaky ReLU,hsv,1000,0.999003984063745,0.99874213836478,0.3280615,0.0199944
192,True,Leaky ReLU,hsv,2000,1.0,1.0,0.9713574,0.0440008
194,True,Leaky ReLU,hsv,3000,1.0,1.0,1.8808367,0.0624829
196,True,Leaky ReLU,hsv,4000,1.0,1.0,3.2107720000000004,0.0800083
198,True,Leaky ReLU,hsv,5000,1.0,1.0,4.946595,0.0866904
200,True,Leaky ReLU,hsv,6000,1.0,1.0,7.1609997000000005,0.1039972
202,True,Leaky ReLU,hsv,7000,1.0,1.0,9.8357917,0.1279889
204,True,Leaky ReLU,hsv,8000,1.0,1.0,13.246560700000002,0.1383323
206,True,Leaky ReLU,hsv,9000,1.0,1.0,18.2724,0.1920009
208,True,Leaky ReLU,hsv,10000,1.0,1.0,22.1540319,0.1719603
209,True,Leaky ReLU,rgb,1000,0.9870517928286852,0.9879755245145658,0.3159681,0.019996
211,True,Leaky ReLU,rgb,2000,0.9890438247011952,0.9897972685205124,0.9904654,0.0400022
213,True,Leaky ReLU,rgb,3000,0.9860557768924304,0.9870753198609694,1.8637796,0.052
215,True,Leaky ReLU,rgb,4000,0.9890438247011952,0.9898446833930704,3.2402155,0.0639843
217,True,Leaky ReLU,rgb,5000,0.99402390438247,0.9944657791431984,5.113114400000001,0.1000346
219,True,Leaky ReLU,rgb,6000,0.9970119521912352,0.9972350230414748,7.1778987,0.1239991
221,True,Leaky ReLU,rgb,7000,0.9970119521912352,0.9972350230414748,9.9524486,0.1201636
223,True,Leaky ReLU,rgb,8000,0.999003984063745,0.9990783410138248,13.2666082,0.136004
225,True,Leaky ReLU,rgb,9000,0.99800796812749,0.9981566820276498,17.600449700000002,0.1600396
227,True,Leaky ReLU,rgb,10000,0.999003984063745,0.9990783410138248,22.9209639,0.1999996
228,True,Logistic,cielab,1000,0.4920318725099601,0.4990855971575649,0.4010659,0.0377766
230,True,Logistic,cielab,2000,0.7758964143426295,0.7825243982070451,1.0948419,0.0846626
232,True,Logistic,cielab,3000,0.497011952191235,0.5079183397378402,2.196129,0.1160258
234,True,Logistic,cielab,4000,0.6892430278884463,0.6971603815897932,3.7021089,0.1537766
236,True,Logistic,cielab,5000,0.8147410358565738,0.8231781953221251,5.300912100000001,0.1735348
238,True,Logistic,cielab,6000,0.5298804780876494,0.5403147102579984,7.650985500000001,0.2159989
240,True,Logistic,cielab,7000,0.8247011952191236,0.8300137767822822,10.8031899,0.2679975
242,True,Logistic,cielab,8000,0.3725099601593625,0.3865723740630595,14.5846479,0.2914038
244,True,Logistic,cielab,9000,0.5806772908366534,0.5886714309164978,18.9926605,0.3089512
246,True,Logistic,cielab,10000,0.7758964143426295,0.7807287177533934,23.181895800000003,0.3859952
247,True,Logistic,hsv,1000,0.4621513944223107,0.4632230362958573,0.3856631,0.0312537
249,True,Logistic,hsv,2000,0.8047808764940239,0.8096657364859763,1.0932799,0.0711325
251,True,Logistic,hsv,3000,0.8356573705179283,0.841163665874134,2.1700234000000003,0.100299
253,True,Logistic,hsv,4000,0.7778884462151394,0.7813487130392324,3.6321609,0.1508151
255,True,Logistic,hsv,5000,0.4960159362549801,0.500951817517423,5.349846100000001,0.1751769
257,True,Logistic,hsv,6000,0.8007968127490039,0.8054776830329871,7.777267500000001,0.2116827
259,True,Logistic,hsv,7000,0.5308764940239044,0.5415461074410681,10.6773798,0.2379716
261,True,Logistic,hsv,8000,0.7191235059760956,0.7255176035064943,14.1053553,0.2853161
263,True,Logistic,hsv,9000,0.4581673306772908,0.4504363326035273,19.129505400000003,0.378254
265,True,Logistic,hsv,10000,0.3735059760956175,0.3700311746868648,23.1788895,0.3635077
266,True,Logistic,rgb,1000,0.7390438247011952,0.7492242703396224,0.4168801,0.0534051
268,True,Logistic,rgb,2000,0.7061752988047809,0.7168023306715635,1.1393217,0.0690703
270,True,Logistic,rgb,3000,0.450199203187251,0.4520150092692342,2.1127052,0.115979
272,True,Logistic,rgb,4000,0.6215139442231076,0.6344839395851619,3.6293122,0.132359
274,True,Logistic,rgb,5000,0.6314741035856574,0.6404478483407215,5.5912185,0.2005788
276,True,Logistic,rgb,6000,0.5258964143426295,0.5348256994955535,7.692862300000001,0.2080271
278,True,Logistic,rgb,7000,0.2878486055776892,0.2995063647096343,10.7189526,0.2399531
280,True,Logistic,rgb,8000,0.5707171314741036,0.5847096502394253,14.0979953,0.2839215
282,True,Logistic,rgb,9000,0.301792828685259,0.3218523197712736,18.4019975,0.3220737
284,True,Logistic,rgb,10000,0.499003984063745,0.5057192367898792,22.8629978,0.3479991
285,True,Swish,cielab,1000,0.9760956175298804,0.9771391490962198,0.4209996,0.0500048
287,True,Swish,cielab,2000,0.9701195219123506,0.971178162785008,1.0729972,0.0790038
289,True,Swish,cielab,3000,0.9880478087649402,0.9882462325352296,2.1532364,0.107982
291,True,Swish,cielab,4000,0.9850597609561752,0.9854640681838764,3.5068559,0.1560384
293,True,Swish,cielab,5000,0.9870517928286852,0.9873116530959772,5.411463100000001,0.1907868
295,True,Swish,cielab,6000,0.9870517928286852,0.9873116530959772,7.475116300000001,0.2205429
297,True,Swish,cielab,7000,0.9860557768924304,0.986377073656725,10.4312456,0.2602616
299,True,Swish,cielab,8000,0.9850597609561752,0.9854424942174728,13.0890702,0.2974931
301,True,Swish,cielab,9000,0.9850597609561752,0.9854424942174728,18.4561577,0.3560004
303,True,Swish,cielab,10000,0.9850597609561752,0.9854424942174728,23.4811215,0.4157592
304,True,Swish,hsv,1000,0.99800796812749,0.9978204793786049,0.4130032,0.0459974
306,True,Swish,hsv,2000,0.99800796812749,0.9978204793786049,1.0589967,0.0800349
308,True,Swish,hsv,3000,0.99800796812749,0.9978204793786049,2.1420318000000003,0.1159933
310,True,Swish,hsv,4000,0.9970119521912352,0.9968988203924296,3.5263319,0.1560055
312,True,Swish,hsv,5000,0.9970119521912352,0.9968988203924296,5.3195459000000005,0.1887388
314,True,Swish,hsv,6000,0.9970119521912352,0.9968988203924296,7.4928387,0.2640081
316,True,Swish,hsv,7000,0.99800796812749,0.9978204793786049,10.0753966,0.2592076
318,True,Swish,hsv,8000,0.99800796812749,0.9978204793786049,13.59003,0.307238
320,True,Swish,hsv,9000,0.99800796812749,0.9978204793786049,17.782471700000002,0.335571
322,True,Swish,hsv,10000,0.99800796812749,0.9978204793786049,23.5853192,0.3930022
323,True,Swish,rgb,1000,0.9721115537848606,0.973767022200336,0.3900013,0.0479987
325,True,Swish,rgb,2000,0.9721115537848606,0.9737712891400868,1.2641063,0.0979977
327,True,Swish,rgb,3000,0.9721115537848606,0.9737712891400868,2.1383989000000003,0.1200026
329,True,Swish,rgb,4000,0.9721115537848606,0.9737712891400868,3.5293253,0.1710439
331,True,Swish,rgb,5000,0.9711155378486056,0.9728496301539116,5.0934762000000005,0.1879913
333,True,Swish,rgb,6000,0.9711155378486056,0.9728496301539116,7.493764,0.2251451
335,True,Swish,rgb,7000,0.9711155378486056,0.9728496301539116,10.3256101,0.268465
337,True,Swish,rgb,8000,0.9701195219123506,0.9719279711677368,13.6073583,0.302146
339,True,Swish,rgb,9000,0.9711155378486056,0.9728496301539116,18.551125000000003,0.3719991
341,True,Swish,rgb,10000,0.9701195219123506,0.9719279711677368,23.4192299,0.4059631
