,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
274,True,Logistic,rgb,5000,0.3701478743068392,0.381358951258718,5.5652637,0.3520058
276,True,Logistic,rgb,6000,0.4011090573012939,0.4625281336730043,7.691716800000001,0.4319677
278,True,Logistic,rgb,7000,0.5365064695009242,0.5874005874200127,10.4593052,0.4951694
280,True,Logistic,rgb,8000,0.4704251386321627,0.5088075451745393,13.731489000000002,0.5796121000000001
282,True,Logistic,rgb,9000,0.4066543438077634,0.4554095819289843,17.709834700000002,0.6610696
284,True,Logistic,rgb,10000,0.2818853974121996,0.2849306947856864,22.0655033,0.7265252000000001
285,True,Swish,cielab,1000,0.5596118299445472,0.5726320939784771,0.41665,0.0781468
287,True,Swish,cielab,2000,0.9329944547134936,0.9530887945622706,1.1545292,0.1381517
289,True,Swish,cielab,3000,0.9297597042513864,0.9507504097859394,2.2057101,0.230233
291,True,Swish,cielab,4000,0.9348428835489834,0.9546805703109662,3.5893300000000004,0.3118018
293,True,Swish,cielab,5000,0.9343807763401109,0.954003566539875,5.2382364,0.3929362
295,True,Swish,cielab,6000,0.9316081330868762,0.952243146009002,7.420624600000001,0.4659927
297,True,Swish,cielab,7000,0.9288354898336414,0.949922850265296,10.1153326,0.5446106000000001
299,True,Swish,cielab,8000,0.9279112754158964,0.9486750946808608,13.258264,0.5954983
301,True,Swish,cielab,9000,0.9265249537892792,0.9479725185684484,17.086043500000002,0.6772511
303,True,Swish,cielab,10000,0.9256007393715342,0.947045080288152,21.3993651,0.7501203000000001
304,True,Swish,hsv,1000,0.94547134935305,0.9641817890775376,0.4011236,0.0781541
306,True,Swish,hsv,2000,0.9440850277264324,0.9636436684654016,1.1231417,0.1503514
308,True,Swish,hsv,3000,0.944547134935305,0.96364908957738,2.1876230000000003,0.2301505
310,True,Swish,hsv,4000,0.9426987060998152,0.9632560569007866,3.6840986,0.311906
312,True,Swish,hsv,5000,0.9403881700554528,0.9613408689213668,5.2260936,0.3848085
314,True,Swish,hsv,6000,0.9390018484288356,0.9603473399281216,7.410485400000001,0.4633329
316,True,Swish,hsv,7000,0.9376155268022182,0.9593538109348768,10.1052281,0.5349296
318,True,Swish,hsv,8000,0.9371534195933456,0.9590553034721904,13.2872917,0.6155566
320,True,Swish,hsv,9000,0.9366913123844732,0.9580844296857828,17.037837,0.6764315000000001
322,True,Swish,hsv,10000,0.9362292051756008,0.957785922223096,21.2020665,0.768252
323,True,Swish,rgb,1000,0.9080406654343808,0.9331278390763614,0.4401912,0.0847105
325,True,Swish,rgb,2000,0.9057301293900184,0.9310316293193418,1.1381021,0.1584061
327,True,Swish,rgb,3000,0.905268022181146,0.9301046044619432,2.1898559,0.2293536
329,True,Swish,rgb,4000,0.9038817005545288,0.9286031646452536,3.6166656,0.3017775
331,True,Swish,rgb,5000,0.9024953789279112,0.9274415343274864,5.2764479,0.3943351
333,True,Swish,rgb,6000,0.9029574861367836,0.9275069441080174,7.387750400000001,0.4760973
335,True,Swish,rgb,7000,0.9020332717190388,0.9272651974886928,10.0813651,0.5348203
337,True,Swish,rgb,8000,0.9024953789279112,0.9274993895261636,13.2103607,0.6259163000000001
339,True,Swish,rgb,9000,0.9020332717190388,0.9272008820634772,17.0829031,0.6766712
341,True,Swish,rgb,10000,0.9020332717190388,0.9272008820634772,21.3504457,0.7892760000000001
